stabilized,delivery_month,stabilization_month,leaseup_months,ProjID,Name,Submarket,Quantity,AreaPerUnit,YearBuilt,market
False,2020-08-01,,,10255506,Parkside at Round Rock,Round Rock/Georgetown,432,933,2020,"Austin-Round Rock, TX"
True,2014-07-01,2014-11-01,4.0,66015,Parkway Grande,San Marcos,192,834,2014,"Austin-Round Rock, TX"
True,2008-08-01,2009-08-01,12.0,19952,Parmer Place,East Austin,290,1123,2008,"Austin-Round Rock, TX"
True,2016-08-01,2018-01-01,17.0,59700,Pearl Lantana,Southwest Austin,444,952,2017,"Austin-Round Rock, TX"
True,2016-11-01,2018-01-01,14.0,71006,Platform,East Austin,355,829,2017,"Austin-Round Rock, TX"
False,2020-08-01,,,10262644,Platform II,East Austin,202,824,2020,"Austin-Round Rock, TX"
True,2018-07-01,2019-04-01,9.0,90351,Plum Creek Vue,San Marcos,180,913,2018,"Austin-Round Rock, TX"
True,2012-09-01,2013-07-01,10.0,34865,Post South Lamar I,South Austin,298,853,2013,"Austin-Round Rock, TX"
True,2017-06-01,2018-08-01,14.0,48351,Post South Lamar II,South Austin,344,734,2017,"Austin-Round Rock, TX"
True,2009-12-01,2010-07-01,7.0,26425,Post West Austin,Near North Austin,329,889,2009,"Austin-Round Rock, TX"
False,2020-08-01,,,75981,Presidium at The Pecan District,Pflugerville/Wells Branch,272,778,2020,"Austin-Round Rock, TX"
True,2009-12-01,2010-03-01,3.0,19639,Pressler,Downtown/University,168,903,2010,"Austin-Round Rock, TX"
True,2012-04-01,2013-05-01,13.0,42127,Promesa,Far West Austin,271,973,2012,"Austin-Round Rock, TX"
True,2016-08-01,2016-09-01,1.0,71727,Provenza At Plum Creek,San Marcos,180,839,2016,"Austin-Round Rock, TX"
False,2020-06-01,,,86449,Quest,Cedar Park,333,810,2020,"Austin-Round Rock, TX"
True,2017-04-01,2018-07-01,15.0,64183,Radius on Grove,Riverside,156,1095,2017,"Austin-Round Rock, TX"
True,2017-10-01,2018-11-01,13.0,52349,Regal Parc II,Cedar Park,123,972,2018,"Austin-Round Rock, TX"
False,2019-08-01,,,82462,Residences at Saltillo,East Austin,703,781,2020,"Austin-Round Rock, TX"
True,2017-12-01,2019-09-01,21.0,57043,Retreat at Wolf Ranch,Round Rock/Georgetown,325,927,2018,"Austin-Round Rock, TX"
False,2020-08-01,,,10253505,Rhythm,Cedar Park,262,831,2020,"Austin-Round Rock, TX"
True,2013-07-01,2014-11-01,16.0,37912,RiverView,Riverside,302,925,2013,"Austin-Round Rock, TX"
True,2014-01-01,2015-08-01,19.0,43630,Sabina Apartments,Downtown/University,298,832,2014,"Austin-Round Rock, TX"
True,2017-10-01,2019-06-01,20.0,76210,Sadler House,San Marcos,240,872,2018,"Austin-Round Rock, TX"
True,2015-04-01,2015-11-01,7.0,36130,Seven,Downtown/University,220,924,2015,"Austin-Round Rock, TX"
True,2013-03-01,2014-01-01,10.0,38748,Silverado Crossing,San Marcos,300,852,2013,"Austin-Round Rock, TX"
True,2013-12-01,2015-05-01,17.0,41329,Skyhouse Austin,Downtown/University,320,791,2014,"Austin-Round Rock, TX"
False,2020-08-01,,,10252263,Society SoCo,Far South Austin,262,757,2020,"Austin-Round Rock, TX"
True,2013-08-01,2015-08-01,24.0,35835,South Shore District I,Riverside,250,916,2014,"Austin-Round Rock, TX"
True,2014-05-01,2015-09-01,16.0,42066,South Shore District II,Riverside,162,1035,2014,"Austin-Round Rock, TX"
True,2014-08-01,2015-08-01,12.0,50271,South Shore District III,Riverside,94,885,2014,"Austin-Round Rock, TX"
True,2016-11-01,2017-10-01,11.0,71766,Southpark Crossing,Southeast Austin,308,801,2017,"Austin-Round Rock, TX"
True,2017-07-01,2019-02-01,19.0,76064,Springs at Lakeline,Northwest Austin,328,975,2018,"Austin-Round Rock, TX"
True,2017-05-01,2018-08-01,15.0,76059,Springs at Round Rock,Round Rock/Georgetown,260,977,2018,"Austin-Round Rock, TX"
True,2018-07-01,2019-10-01,15.0,10251497,Springs at Sunfield,San Marcos,256,965,2019,"Austin-Round Rock, TX"
False,2020-07-01,,,10252391,St Johns West,North Central Austin,297,739,2020,"Austin-Round Rock, TX"
True,2017-08-01,2018-04-01,8.0,71887,Still Waters,Southeast Austin,512,919,2018,"Austin-Round Rock, TX"
True,2019-06-01,2020-04-01,10.0,10255590,Stone Hill,Pflugerville/Wells Branch,300,905,2020,"Austin-Round Rock, TX"
True,2016-03-01,2017-09-01,18.0,44692,Sur512,Far South Austin,352,895,2016,"Austin-Round Rock, TX"
True,2013-12-01,2015-05-01,17.0,34863,Sync at Mueller,East Austin,300,922,2014,"Austin-Round Rock, TX"
True,2012-02-01,2012-11-01,9.0,45203,Sync at Purgatory Creek,San Marcos,286,961,2011,"Austin-Round Rock, TX"
True,2017-04-01,2018-05-01,13.0,65660,Tacara at Steiner Ranch,Far West Austin,246,961,2018,"Austin-Round Rock, TX"
True,2013-01-01,2013-07-01,6.0,37334,Ten Oaks,North Central Austin,192,946,2013,"Austin-Round Rock, TX"
True,2018-03-01,2019-08-01,17.0,90985,Terra,Southeast Austin,372,955,2018,"Austin-Round Rock, TX"
True,2013-11-01,2015-06-01,19.0,42567,The 704,South Austin,378,854,2014,"Austin-Round Rock, TX"
True,2015-03-01,2017-01-01,22.0,38382,The Addison at Kramer Station,North Central Austin,388,904,2015,"Austin-Round Rock, TX"
False,2020-02-01,,,10253994,The Alden at Cedar Park,Cedar Park,349,902,2020,"Austin-Round Rock, TX"
True,2013-02-01,2014-03-01,13.0,44404,The Allure,Cedar Park,334,962,2013,"Austin-Round Rock, TX"
True,2016-06-01,2018-06-01,24.0,56174,The Arnold,East Austin,346,771,2017,"Austin-Round Rock, TX"
True,2009-09-01,2010-06-01,9.0,34006,The Asten at Ribelin Ranch,Far West Austin,350,979,2009,"Austin-Round Rock, TX"
True,2008-07-01,2009-05-01,10.0,19869,The Beverly,Downtown/University,120,1047,2008,"Austin-Round Rock, TX"
True,2015-03-01,2017-03-01,24.0,37790,The Bowie,Downtown/University,358,1010,2015,"Austin-Round Rock, TX"
False,2019-12-01,,,10253936,The Braxton,Near North Austin,52,811,2019,"Austin-Round Rock, TX"
True,2008-06-01,2009-05-01,11.0,19839,The Bridge at Centeridge,North Central Austin,348,793,2008,"Austin-Round Rock, TX"
False,2019-05-01,,,10253094,The Carroll at Rivery Ranch,Round Rock/Georgetown,360,921,2020,"Austin-Round Rock, TX"
